iter	Passed	Remaining
0	48	48599
1	48	24449
2	49	16389
3	49	12377
4	50	9975
5	50	8370
6	50	7225
7	51	6374
8	51	5705
9	52	5167
10	52	4728
11	52	4361
12	53	4051
13	53	3787
14	54	3557
15	54	3358
16	55	3182
17	55	3026
18	55	2885
19	56	2758
20	56	2642
21	57	2537
22	57	2442
23	57	2355
24	58	2273
25	58	2198
26	59	2129
27	59	2065
28	59	2005
29	60	1948
30	60	1896
31	61	1848
32	61	1801
33	61	1759
34	62	1718
35	62	1682
36	63	1645
37	63	1609
38	63	1576
39	64	1545
40	64	1515
41	65	1487
42	65	1460
43	66	1434
44	66	1410
45	66	1386
46	67	1364
47	67	1342
48	68	1321
49	68	1300
50	68	1280
51	69	1261
52	69	1242
53	69	1225
54	70	1208
55	70	1192
56	71	1176
57	71	1160
58	71	1145
59	72	1130
60	72	1117
61	72	1103
62	73	1090
63	73	1078
64	74	1066
65	74	1054
66	74	1042
67	75	1028
68	75	1018
69	75	1007
70	76	997
71	76	987
72	76	977
73	77	967
74	77	957
75	78	948
76	78	940
77	78	931
78	79	923
79	79	914
80	79	906
81	80	898
82	80	890
83	80	883
84	81	874
85	81	867
86	81	858
87	82	851
88	82	845
89	82	838
90	83	832
91	83	825
92	84	819
93	84	813
94	84	807
95	85	802
96	85	797
97	86	791
98	86	786
99	86	780
100	87	775
101	87	768
102	87	763
103	88	758
104	88	754
105	88	749
106	89	744
107	89	739
108	89	735
109	90	730
110	90	726
111	91	721
112	91	717
113	91	713
114	92	709
115	92	704
116	92	700
117	93	696
118	93	691
119	93	687
120	94	683
121	94	680
122	94	675
123	95	671
124	95	667
125	95	664
126	96	661
127	96	656
128	96	654
129	97	650
130	97	647
131	97	644
132	98	640
133	98	637
134	99	634
135	99	631
136	99	628
137	100	625
138	100	622
139	100	619
140	101	616
141	101	613
142	101	611
143	102	608
144	102	605
145	103	603
146	103	600
147	103	598
148	104	595
149	104	592
150	105	590
151	105	587
152	105	585
153	106	582
154	106	580
155	106	578
156	107	575
157	107	573
158	108	571
159	108	568
160	108	566
161	109	564
162	109	561
163	109	559
164	110	557
165	110	555
166	110	553
167	111	551
168	111	549
169	112	546
170	112	544
171	112	542
172	113	540
173	113	538
174	113	536
175	114	534
176	114	532
177	114	530
178	115	528
179	115	527
180	115	524
181	116	522
182	116	521
183	117	519
184	117	517
185	117	515
186	118	513
187	118	512
188	118	510
189	119	508
190	119	506
191	120	505
192	120	503
193	120	501
194	121	500
195	121	498
196	121	497
197	122	495
198	122	493
199	122	491
200	123	490
201	123	488
202	124	487
203	124	485
204	124	484
205	125	482
206	125	481
207	125	479
208	126	478
209	126	476
210	127	475
211	127	473
212	127	472
213	128	470
214	128	469
215	128	468
216	129	466
217	129	465
218	130	463
219	130	462
220	130	461
221	131	459
222	131	458
223	131	457
224	132	455
225	132	454
226	133	452
227	133	451
228	133	450
229	134	449
230	134	447
231	134	446
232	135	445
233	135	443
234	135	442
235	136	441
236	136	440
237	137	438
238	137	437
239	137	436
240	138	435
241	138	433
242	138	432
243	139	431
244	139	430
245	140	429
246	140	427
247	140	426
248	141	425
249	141	424
250	141	423
251	142	422
252	142	421
253	143	420
254	143	418
255	143	417
256	144	416
257	144	415
258	144	414
259	145	413
260	145	412
261	145	410
262	146	409
263	146	408
264	147	407
265	147	406
266	147	405
267	148	404
268	148	403
269	148	402
270	149	401
271	149	400
272	150	399
273	150	398
274	150	397
275	151	396
276	151	395
277	151	394
278	152	393
279	152	392
280	152	391
281	153	390
282	153	389
283	154	388
284	154	387
285	154	386
286	155	385
287	155	384
288	155	383
289	156	382
290	156	381
291	156	380
292	157	379
293	157	378
294	158	377
295	158	377
296	158	376
297	159	375
298	159	374
299	160	373
300	160	372
301	160	371
302	161	370
303	161	369
304	161	368
305	162	368
306	162	367
307	163	366
308	163	365
309	163	364
310	164	363
311	165	364
312	165	363
313	166	362
314	166	362
315	167	362
316	167	361
317	168	360
318	168	359
319	168	359
320	169	358
321	169	357
322	170	356
323	170	355
324	170	354
325	171	353
326	171	353
327	171	352
328	172	351
329	172	350
330	173	349
331	173	349
332	173	348
333	174	347
334	174	346
335	175	346
336	175	345
337	175	344
338	176	343
339	176	343
340	177	342
341	177	341
342	178	340
343	178	340
344	178	339
345	179	338
346	179	338
347	180	337
348	180	336
349	180	335
350	181	335
351	181	334
352	182	333
353	182	332
354	182	332
355	183	331
356	183	330
357	184	330
358	184	329
359	184	328
360	185	327
361	185	327
362	186	326
363	186	325
364	186	325
365	187	324
366	187	323
367	188	323
368	188	322
369	188	321
370	189	320
371	189	320
372	190	319
373	190	318
374	190	318
375	191	317
376	191	316
377	192	316
378	192	315
379	192	314
380	193	314
381	193	313
382	194	312
383	194	311
384	194	311
385	195	310
386	195	309
387	196	309
388	196	308
389	196	307
390	197	307
391	197	306
392	198	305
393	198	305
394	198	304
395	199	304
396	199	303
397	200	302
398	200	302
399	200	301
400	201	300
401	201	300
402	202	299
403	202	298
404	202	298
405	203	297
406	203	296
407	204	296
408	204	295
409	204	294
410	205	294
411	205	293
412	206	292
413	206	292
414	206	291
415	207	290
416	207	290
417	207	289
418	208	288
419	208	288
420	209	287
421	209	286
422	209	286
423	210	285
424	210	284
425	210	284
426	211	283
427	211	282
428	212	282
429	212	281
430	212	280
431	213	280
432	213	279
433	213	278
434	214	278
435	214	277
436	215	276
437	215	276
438	215	275
439	216	275
440	216	274
441	216	273
442	217	273
443	217	272
444	218	271
445	218	271
446	218	270
447	219	269
448	219	269
449	219	268
450	220	268
451	220	267
452	221	266
453	221	266
454	221	265
455	222	264
456	222	264
457	222	263
458	223	263
459	223	262
460	223	261
461	224	261
462	224	260
463	225	259
464	225	259
465	225	258
466	226	258
467	226	257
468	226	256
469	227	256
470	227	255
471	228	255
472	228	254
473	228	253
474	229	253
475	229	252
476	229	252
477	230	251
478	230	250
479	230	250
480	231	249
481	231	249
482	232	248
483	232	247
484	232	247
485	233	246
486	233	246
487	233	245
488	234	244
489	234	244
490	235	243
491	235	243
492	235	242
493	236	241
494	236	241
495	236	240
496	237	240
497	237	239
498	238	239
499	238	238
500	238	237
501	239	237
502	239	236
503	239	236
504	240	235
505	240	234
506	241	234
507	241	233
508	241	233
509	242	232
510	242	232
511	242	231
512	243	230
513	243	230
514	244	229
515	244	229
516	244	228
517	245	228
518	245	227
519	246	227
520	246	226
521	246	226
522	247	225
523	247	225
524	248	224
525	248	223
526	248	223
527	249	222
528	249	222
529	250	221
530	250	221
531	250	220
532	251	220
533	251	219
534	252	219
535	252	218
536	252	218
537	253	217
538	253	217
539	254	216
540	254	216
541	255	215
542	255	214
543	255	214
544	256	213
545	256	213
546	257	212
547	257	212
548	257	211
549	258	211
550	258	210
551	259	210
552	259	209
553	259	209
554	260	208
555	260	208
556	261	207
557	261	207
558	261	206
559	262	206
560	262	205
561	263	205
562	263	204
563	263	203
564	264	203
565	264	202
566	265	202
567	265	201
568	265	201
569	266	200
570	266	200
571	267	199
572	267	199
573	267	198
574	268	198
575	268	197
576	269	197
577	269	196
578	269	196
579	270	195
580	270	195
581	270	194
582	271	194
583	271	193
584	272	193
585	272	192
586	272	192
587	273	191
588	273	191
589	274	190
590	274	190
591	274	189
592	275	189
593	275	188
594	276	187
595	276	187
596	276	186
597	277	186
598	277	185
599	278	185
600	278	184
601	278	184
602	279	183
603	279	183
604	279	182
605	280	182
606	280	181
607	281	181
608	281	180
609	281	180
610	282	179
611	282	179
612	282	178
613	283	178
614	283	177
615	284	177
616	284	176
617	284	176
618	285	175
619	285	175
620	285	174
621	286	174
622	286	173
623	287	172
624	287	172
625	287	171
626	288	171
627	288	170
628	288	170
629	289	169
630	289	169
631	289	168
632	290	168
633	290	167
634	290	167
635	291	166
636	291	166
637	291	165
638	292	165
639	292	164
640	293	164
641	293	163
642	293	163
643	294	162
644	294	162
645	295	161
646	295	161
647	295	160
648	296	160
649	296	159
650	296	159
651	297	158
652	297	158
653	298	157
654	298	157
655	298	156
656	299	156
657	299	155
658	299	155
659	300	154
660	300	154
661	301	153
662	301	153
663	301	152
664	302	152
665	302	151
666	302	151
667	303	150
668	303	150
669	304	149
670	304	149
671	304	148
672	305	148
673	305	147
674	305	147
675	306	146
676	306	146
677	307	145
678	307	145
679	307	144
680	308	144
681	308	143
682	308	143
683	309	142
684	309	142
685	310	141
686	310	141
687	310	140
688	311	140
689	311	139
690	311	139
691	312	139
692	312	138
693	313	138
694	313	137
695	313	137
696	314	136
697	314	136
698	315	135
699	315	135
700	315	134
701	316	134
702	316	133
703	316	133
704	317	132
705	317	132
706	317	131
707	318	131
708	318	130
709	318	130
710	319	129
711	319	129
712	320	128
713	320	128
714	320	127
715	321	127
716	321	126
717	321	126
718	322	125
719	322	125
720	323	125
721	323	124
722	323	124
723	324	123
724	324	123
725	325	122
726	325	122
727	325	121
728	326	121
729	326	120
730	326	120
731	327	119
732	327	119
733	327	118
734	328	118
735	328	117
736	329	117
737	329	116
738	329	116
739	330	116
740	330	115
741	330	115
742	331	114
743	331	114
744	332	113
745	332	113
746	332	112
747	333	112
748	333	111
749	333	111
750	334	110
751	334	110
752	335	109
753	335	109
754	335	108
755	336	108
756	336	108
757	336	107
758	337	107
759	337	106
760	338	106
761	338	105
762	338	105
763	339	104
764	339	104
765	339	103
766	340	103
767	340	102
768	341	102
769	341	101
770	341	101
771	342	101
772	342	100
773	342	100
774	343	99
775	343	99
776	343	98
777	344	98
778	344	97
779	345	97
780	345	96
781	345	96
782	346	95
783	346	95
784	347	95
785	347	94
786	347	94
787	348	93
788	348	93
789	348	92
790	349	92
791	349	91
792	350	91
793	350	90
794	350	90
795	351	89
796	351	89
797	351	89
798	352	88
799	352	88
800	352	87
801	353	87
802	353	86
803	354	86
804	354	85
805	354	85
806	355	84
807	355	84
808	355	84
809	356	83
810	356	83
811	357	82
812	357	82
813	358	81
814	358	81
815	359	80
816	359	80
817	359	80
818	360	79
819	360	79
820	361	78
821	361	78
822	361	77
823	362	77
824	362	76
825	363	76
826	363	76
827	363	75
828	364	75
829	364	74
830	364	74
831	365	73
832	365	73
833	365	72
834	366	72
835	366	71
836	367	71
837	367	71
838	367	70
839	368	70
840	368	69
841	369	69
842	369	68
843	369	68
844	370	67
845	370	67
846	370	67
847	371	66
848	371	66
849	372	65
850	372	65
851	372	64
852	373	64
853	373	63
854	373	63
855	374	62
856	374	62
857	375	62
858	375	61
859	375	61
860	376	60
861	376	60
